Name,Language,Genres,Rating,Premiered,Status
Extant,English,"Drama, Science-Fiction, Thriller",7.3,2014-07-09,Ended
Black Sails,English,"Drama, Action, Adventure",8.4,2014-01-25,Ended
Tyrant,English,"Drama, Thriller",7.9,2014-06-24,Ended
BoJack Horseman,English,"Drama, Comedy",7.9,2014-08-22,Ended
Salem,English,"Drama, Thriller, Supernatural",6.9,2014-04-20,Ended
TURN: Washington's Spies,English,"Drama, War",7.8,2014-04-06,Ended
Intelligence,English,"Action, Science-Fiction",6.6,2014-01-07,Ended
Believe,English,"Drama, Action, Fantasy",7.3,2014-03-10,Ended
Star-Crossed,English,"Drama, Romance, Science-Fiction",6.9,2014-02-17,Ended
Crisis,English,"Drama, Action, Thriller",7.1,2014-03-16,Ended
Halt and Catch Fire,English,Drama,8.1,2014-06-01,Ended
Hello Ladies,English,Comedy,6.5,2013-09-29,Ended
Dads,English,Comedy,5.1,2013-09-17,Ended
Hannibal,English,"Drama, Crime, Horror",8.2,2013-04-04,Ended
Bates Motel,English,"Drama, Horror, Thriller",8.0,2013-03-18,Ended
The Following,English,"Drama, Crime, Thriller",7.0,2013-01-21,Ended
Da Vinci's Demons,English,"Drama, Horror",8.0,2013-04-12,Ended
The Fosters,English,"Drama, Family, Romance",7.5,2013-06-03,Ended
Mistresses,English,"Drama, Romance",7.6,2013-06-03,Ended
The Tomorrow People,English,"Action, Science-Fiction",7.3,2013-10-09,Ended
Devious Maids,English,"Drama, Crime, Mystery",7.6,2013-06-23,Ended
Almost Human,English,"Drama, Crime, Science-Fiction",7.7,2013-11-17,Ended
The Carrie Diaries,English,"Drama, Comedy, Romance",6.5,2013-01-14,Ended
Stargate SG·1,English,"Action, Adventure, Science-Fiction",8.8,1997-07-27,Ended
Graceland,English,"Drama, Action, Crime",7.4,2013-06-06,Ended
Stargate Atlantis,English,"Action, Adventure, Science-Fiction",8.8,2004-07-16,Ended
Stargate Universe,English,"Action, Adventure, Science-Fiction",8.1,2009-10-02,Ended
The Chair,English,,,2014-09-06,Ended
Survivor's Remorse,English,"Drama, Comedy, Sports",6.6,2014-10-04,Ended
Doctor Who,English,"Drama, Adventure, Science-Fiction",8.2,2005-03-26,Ended
666 Park Avenue,English,"Drama, Mystery, Supernatural",6.6,2012-09-30,Ended
Alcatraz,English,"Drama, Science-Fiction, Thriller",7.0,2012-01-16,Ended
The Gates,English,"Drama, Crime, Supernatural",7.2,2010-06-20,Ended
Kingdom,English,"Drama, Family, Sports",7.9,2014-10-08,Ended
American Dad!,English,"Comedy, Family",7.5,2005-02-06,Running
Rick and Morty,English,"Comedy, Adventure, Science-Fiction",8.7,2013-12-02,Running
Hostages,English,"Drama, Thriller",6.4,2013-09-23,Ended
Being Human,English,"Drama, Horror, Romance",7.5,2011-01-17,Ended
Alphas,English,"Drama, Science-Fiction, Supernatural",7.5,2011-07-11,Ended
Crossing Lines,English,"Drama, Action, Crime",7.6,2013-06-23,Ended
Rectify,English,"Drama, Crime",8.0,2013-04-22,Ended
Happyland,English,"Drama, Comedy",7.0,2014-09-30,Ended
Twisted,English,"Drama, Thriller, Mystery",7.3,2013-03-19,Ended
Ravenswood,English,"Drama, Horror",7.1,2013-10-22,Ended
The Crazy Ones,English,Comedy,7.1,2013-09-26,Ended
Mob City,English,"Drama, Crime",7.4,2013-12-04,Ended
Last Resort,English,"Drama, Action, War",7.3,2012-09-27,Ended
The Neighbors,English,"Comedy, Science-Fiction",6.9,2012-09-26,Ended
Go On,English,Comedy,7.3,2012-08-08,Ended
Vegas,English,Drama,7.9,2012-09-25,Ended
The River,English,"Drama, Horror, Supernatural",6.9,2012-02-07,Ended
Awake,English,"Drama, Fantasy, Thriller",7.4,2012-03-01,Ended
Missing,English,"Drama, Action, Thriller",7.0,2012-03-15,Ended
The New Normal,English,Comedy,7.1,2012-09-10,Ended
GCB,English,"Drama, Comedy, Romance",7.2,2012-03-04,Ended
Revolution,English,"Action, Adventure, Science-Fiction",7.6,2012-09-17,Ended
Dallas,English,"Drama, Family",6.7,2012-06-13,Ended
Anger Management,English,Comedy,6.3,2012-06-28,Ended
Cops,English,"Action, Crime",7.1,1989-03-11,Running
Benched,English,"Comedy, Legal",7.2,2014-10-28,Ended
The Great Fire,English,Drama,7.0,2014-10-16,Ended
Conan,English,Comedy,7.7,2010-11-08,Ended
Strange Empire,English,"Drama, Western",7.2,2014-10-06,Ended
Town of the Living Dead,English,,,2014-10-07,Ended
Long Shadow,English,"War, History",,2014-09-24,Ended
The Colbert Report,English,Comedy,7.2,2005-10-17,Ended
Transporter: The Series,English,"Action, Adventure, Crime",7.3,2013-01-04,Ended
The Daily Show with Jon Stewart,English,Comedy,8.0,1999-01-11,Ended
